,match_id,blue_team_name,red_team_name,result,duration,duration_in_sec,date,blue_top_name,blue_top_champion,blue_top_kills,blue_top_deaths,blue_top_assists,blue_top_kda,blue_top_cs,blue_top_gd_at_15,blue_jg_name,blue_jg_champion,blue_jg_kills,blue_jg_deaths,blue_jg_assists,blue_jg_kda,blue_jg_cs,blue_jg_gd_at_15,blue_mid_name,blue_mid_champion,blue_mid_kills,blue_mid_deaths,blue_mid_assists,blue_mid_kda,blue_mid_cs,blue_mid_gd_at_15,blue_bot_name,blue_bot_champion,blue_bot_kills,blue_bot_deaths,blue_bot_assists,blue_bot_kda,blue_bot_cs,blue_bot_gd_at_15,blue_sup_name,blue_sup_champion,blue_sup_kills,blue_sup_deaths,blue_sup_assists,blue_sup_kda,blue_sup_cs,blue_sup_gd_at_15,red_top_name,red_top_champion,red_top_kills,red_top_deaths,red_top_assists,red_top_kda,red_top_cs,red_top_gd_at_15,red_jg_name,red_jg_champion,red_jg_kills,red_jg_deaths,red_jg_assists,red_jg_kda,red_jg_cs,red_jg_gd_at_15,red_mid_name,red_mid_champion,red_mid_kills,red_mid_deaths,red_mid_assists,red_mid_kda,red_mid_cs,red_mid_gd_at_15,red_bot_name,red_bot_champion,red_bot_kills,red_bot_deaths,red_bot_assists,red_bot_kda,red_bot_cs,red_bot_gd_at_15,red_sup_name,red_sup_champion,red_sup_kills,red_sup_deaths,red_sup_assists,red_sup_kda,red_sup_cs,red_sup_gd_at_15,timeline
0,31241,DWG KIA,Cloud9,BLUE,27:40,1660,2021-05-06,Khan,Gnar,3,0,5,9999,217,1111,Canyon,Morgana,2,2,4,3,198,656,ShowMaker,Zoe,0,0,4,9999,248,277,Ghost,Jhin,5,0,3,9999,224,-826,BeryL,Leona,0,5,7,1.4,34,-304,Fudge,Gangplank,2,2,1,1.5,221,-1111,Blaber,Kindred,0,3,5,1.666666667,176,-656,Perkz,Viktor,2,2,2,2,240,-277,Zven,Varus,3,2,2,2.5,202,826,Vulcan,Tahm Kench,0,1,5,5,34,304,6:46 Mountain Drake by BLUE \ 7:11 First blood by RED \ 9:23 Rift Herald by BLUE \ 14:06 Cloud Drake by RED \ 14:33 First Tower by BLUE \ 17:03 Rift Herald by BLUE \ 19:43 Ocean Drake by RED \ 24:03 Nashor by BLUE \ 24:59 Ocean Drake by BLUE \ 
1,31242,Infinity eSports,Detonation FocusMe,BLUE,27:13,1633,2021-05-06,Buggax,Gnar,3,3,4,2.333333333,199,-1354,SolidSnake,Udyr,3,2,6,4.5,181,-108,cody,Sylas,5,0,6,9999,217,-429,Whitelotus,Xayah,1,3,6,2.333333333,286,660,Ackerman,Alistar,1,0,10,9999,35,314,Evi,Akali,3,2,2,2.5,202,1354,Steal,Hecarim,1,1,5,6,168,108,Aria,Renekton,2,4,3,1.25,213,429,Yutapon,Kai,2,2,1,1.5,253,-660,Kazu,Rell,0,4,4,1,34,-314,2:45 First blood by BLUE \ 8:47 Rift Herald by RED \ 12:57 Ocean Drake by BLUE \ 15:54 Rift Herald by BLUE \ 16:45 First Tower by RED \ 18:16 Cloud Drake by RED \ 24:23 Nashor by BLUE \ 25:10 Mountain Drake by RED \ 
2,31243,Royal Never Give Up,Pentanet.GG,BLUE,24:12,1452,2021-05-06,xiaohu,Gnar,5,0,10,9999,219,1429,Wei,Rumble,6,1,10,16,155,987,Cryin,Nocturne,5,1,7,12,206,-152,GALA,Kai,5,1,8,13,236,547,Ming,Nautilus,0,1,14,14,33,29,BioPanther,Urgot,1,3,0,0.333333333,192,-1429,Pabu,Fiddlesticks,0,4,4,1,135,-987,Chazz,Lee Sin,3,5,1,0.8,206,152,Praedyth,Jinx,0,5,2,0.4,208,-547,Decoy,Thresh,0,4,3,0.75,34,-29,6:06 First blood by RED \ 8:57 Rift Herald by BLUE \ 9:28 Mountain Drake by RED \ 9:42 First Tower by BLUE \ 15:27 Infernal Drake by BLUE \ 16:40 Rift Herald by BLUE \ 20:43 Nashor by BLUE \ 21:32 Ocean Drake by BLUE \ 
3,31244,Pentanet.GG,Unicorns Of Love,RED,28:46,1726,2021-05-06,BioPanther,Ornn,0,2,1,0.5,240,-1620,Pabu,Kindred,0,4,0,0,215,-1257,Chazz,Rumble,0,1,1,1,228,-1039,Praedyth,Varus,1,2,0,0.5,257,629,Decoy,Tahm Kench,0,2,0,0,40,410,BOSS,Gnar,2,0,3,9999,250,1620,AHaHaCiK,Nidalee,2,0,6,9999,209,1257,Nomanz,Orianna,4,1,5,9,297,1039,Lodik,Kai,3,0,4,9999,255,-629,SaNTaS,Alistar,0,0,6,9999,38,-410,8:48 Rift Herald by RED \ 9:01 First blood by RED \ 9:30 Infernal Drake by BLUE \ 9:39 First Tower by RED \ 14:44 Ocean Drake by RED \ 16:12 Rift Herald by RED \ 20:24 Cloud Drake by RED \ 25:46 Nashor by RED \ 25:52 Cloud Drake by BLUE \ 
4,31245,Istanbul Wildcats,paiN Gaming,RED,38:19,2299,2021-05-06,StarScreen,Sett,7,6,3,1.666666667,273,143,Ferret,Rumble,4,4,11,3.75,216,121,Serin,Lee Sin,2,2,8,5,294,743,Holyphoenix,Samira,8,2,5,6.5,405,2388,Farfetch,Alistar,1,7,16,2.428571429,37,468,Robo,Darius,10,6,8,3,278,-143,Cariok,Udyr,1,3,15,5.333333333,242,-121,Tinowns,Sylas,7,1,6,13,329,-743,brTT,Tristana,2,5,8,2,307,-2388,Luci,Rell,1,7,15,2.285714286,34,-468,2:15 First blood by BLUE \ 10:06 Rift Herald by RED \ 12:33 Mountain Drake by BLUE \ 13:55 First Tower by BLUE \ 17:14 Rift Herald by BLUE \ 19:02 Infernal Drake by BLUE \ 24:36 Ocean Drake by RED \ 29:03 Nashor by RED \ 30:03 Ocean Drake by BLUE \ 35:50 Ocean Drake by RED \ 36:45 Nashor by RED \ 
5,31246,MAD Lions,PSG Talon,BLUE,27:41,1661,2021-05-06,Armut,Lee Sin,5,0,9,9999,193,-257,Elyoya,Udyr,3,0,15,9999,171,-400,Humanoid,Ryze,6,1,8,14,304,1307,Carzzy,Tristana,9,1,9,18,265,1742,Kaiser,Nautilus,1,3,16,5.666666667,26,337,Hanabi,Gnar,0,4,2,0.5,225,257,River,Nidalee,5,4,0,1.25,174,400,Maple,Sett,0,6,4,0.666666667,205,-1307,Doggo,Kai,0,3,3,1,284,-1742,Kaiwing,Leona,0,7,5,0.714285714,37,-337,3:21 First blood by BLUE \ 8:38 Rift Herald by BLUE \ 8:56 Cloud Drake by RED \ 9:39 First Tower by BLUE \ 14:24 Infernal Drake by BLUE \ 15:48 Rift Herald by RED \ 19:57 Ocean Drake by BLUE \ 23:05 Nashor by BLUE \ 26:24 Ocean Drake by BLUE \ 
6,31247,Pentanet.GG,Royal Never Give Up,RED,24:40,1480,2021-05-07,BioPanther,Gnar,2,3,4,2,222,-606,Pabu,Volibear,2,4,3,1.25,85,-2976,Chazz,Orianna,2,4,1,0.75,195,-1319,Praedyth,Kog,0,5,2,0.4,190,-2301,Decoy,Lulu,0,2,1,0.5,34,-897,xiaohu,Lee Sin,1,3,8,3,234,606,Wei,Udyr,6,1,8,14,234,2976,Cryin,Sylas,2,1,10,12,197,1319,GALA,Kai,9,1,2,11,266,2301,Ming,Leona,0,0,11,9999,28,897,3:32 First blood by RED \ 5:22 Ocean Drake by RED \ 10:06 Rift Herald by RED \ 11:16 Mountain Drake by RED \ 13:23 First Tower by RED \ 16:36 Infernal Drake by RED \ 16:38 Rift Herald by RED \ 22:09 Infernal Drake by RED \ 22:31 Nashor by RED \ 
7,31248,Unicorns Of Love,Royal Never Give Up,RED,23:56,1436,2021-05-07,BOSS,Gnar,1,6,0,0.166666667,155,-3242,AHaHaCiK,Trundle,0,4,2,0.5,113,-2028,Nomanz,Viktor,0,4,1,0.25,202,-500,Lodik,Kai,2,3,1,1,225,-996,SaNTaS,Braum,0,4,2,0.5,29,-508,xiaohu,Lucian,6,2,7,6.5,233,3242,Wei,Olaf,6,0,7,9999,167,2028,Cryin,Ryze,2,0,7,9999,273,500,GALA,Xayah,7,0,6,9999,241,996,Ming,Alistar,0,1,17,17,33,508,3:27 First blood by RED \ 6:31 Cloud Drake by RED \ 9:01 Rift Herald by RED \ 11:03 First Tower by RED \ 12:13 Infernal Drake by RED \ 15:22 Rift Herald by RED \ 17:23 Ocean Drake by RED \ 21:02 Nashor by RED \ 22:57 Ocean Drake by RED \ 
8,31249,Infinity eSports,DWG KIA,RED,24:31,1471,2021-05-07,Buggax,Gnar,1,3,2,1,216,-56,SolidSnake,Lillia,1,4,2,0.75,153,-923,cody,Lucian,0,3,1,0.333333333,180,-1081,Whitelotus,Kalista,0,3,2,0.666666667,203,-1417,Ackerman,Alistar,2,3,2,1.333333333,29,-841,Khan,Sion,1,0,4,9999,188,56,Canyon,Graves,6,0,3,9999,216,923,ShowMaker,Syndra,2,1,6,8,225,1081,Ghost,Varus,6,0,3,9999,224,1417,BeryL,Sett,1,3,5,2,42,841,2:22 First blood by RED \ 9:02 Rift Herald by RED \ 11:38 Infernal Drake by RED \ 14:31 First Tower by RED \ 16:43 Rift Herald by RED \ 17:16 Ocean Drake by RED \ 20:28 Nashor by RED \ 22:41 Cloud Drake by RED \ 
9,31250,Detonation FocusMe,Cloud9,BLUE,31:36,1896,2021-05-07,Evi,Gnar,1,2,6,3.5,251,517,Steal,Udyr,2,1,13,15,199,1619,Aria,Zoe,5,0,5,9999,275,540,Yutapon,Kai,7,1,5,12,288,-206,Kazu,Alistar,0,4,5,1.25,38,-584,Fudge,Jayce,5,3,2,2.333333333,258,-517,Blaber,Nidalee,1,3,5,2,186,-1619,Perkz,Orianna,0,3,1,0.333333333,274,-540,Zven,Varus,2,3,3,1.666666667,254,206,Vulcan,Leona,0,3,4,1.333333333,39,584,3:32 First blood by BLUE \ 8:10 Cloud Drake by RED \ 8:31 Rift Herald by BLUE \ 10:32 First Tower by BLUE \ 13:28 Infernal Drake by RED \ 15:40 Rift Herald by BLUE \ 18:57 Mountain Drake by BLUE \ 25:32 Mountain Drake by RED \ 29:22 Nashor by BLUE \ 
